Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
10/25/16,07:30:00 PM,New York Knicks,88,Cleveland Cavaliers,117,Box Score,,20562,
10/25/16,10:30:00 PM,San Antonio Spurs,129,Golden State Warriors,100,Box Score,,19596,
10/25/16,10:00:00 PM,Utah Jazz,104,Portland Trail Blazers,113,Box Score,,19446,
10/26/16,07:30:00 PM,Brooklyn Nets,117,Boston Celtics,122,Box Score,,18624,
10/26/16,07:00:00 PM,Dallas Mavericks,121,Indiana Pacers,130,Box Score,OT,17923,
10/26/16,10:30:00 PM,Houston Rockets,114,Los Angeles Lakers,120,Box Score,,18997,
10/26/16,08:00:00 PM,Minnesota Timberwolves,98,Memphis Grizzlies,102,Box Score,,18119,
10/26/16,08:00:00 PM,Charlotte Hornets,107,Milwaukee Bucks,96,Box Score,,18717,
10/26/16,08:00:00 PM,Denver Nuggets,107,New Orleans Pelicans,102,Box Score,,15869,
10/26/16,07:00:00 PM,Miami Heat,108,Orlando Magic,96,Box Score,,19298,
10/26/16,08:00:00 PM,Oklahoma City Thunder,103,Philadelphia 76ers,97,Box Score,,20487,
10/26/16,10:00:00 PM,Sacramento Kings,113,Phoenix Suns,94,Box Score,,18055,
10/26/16,07:30:00 PM,Detroit Pistons,91,Toronto Raptors,109,Box Score,,19800,
10/27/16,07:30:00 PM,Washington Wizards,99,Atlanta Hawks,114,Box Score,,19049,
10/27/16,08:00:00 PM,Boston Celtics,99,Chicago Bulls,105,Box Score,,21501,
10/27/16,10:30:00 PM,Los Angeles Clippers,114,Portland Trail Blazers,106,Box Score,,19500,
10/27/16,10:30:00 PM,San Antonio Spurs,102,Sacramento Kings,94,Box Score,,17608,
10/28/16,07:30:00 PM,Indiana Pacers,94,Brooklyn Nets,103,Box Score,,17732,
10/28/16,08:30:00 PM,Houston Rockets,106,Dallas Mavericks,98,Box Score,,20163,
10/28/16,07:30:00 PM,Orlando Magic,82,Detroit Pistons,108,Box Score,,19122,
